 sed "s/^[0-9]*\/[0-9]*\/[0-9]*,/ /g" alfSed.csv > alfSed4.csv
 
 Ambra,Ambu,21,0
 Brunello,Brundu,18,0
 Costantino,Cossu,24,0
 Deborah,Demurtas,28,0
 Efisio,Ennas,18,0
 Felicino,Frau,-,-
 Gavino,Girau,20,0
 heidi,hernandez,8,1
 Igino igor,Ibba,15,0
 Lillo,Lilliu,25,0
 Morgan,Murtas,15,0
 Nathan,Nieddu,16,0
 Ornella,Onnis,30,1
 Pinuccio,Puddu,28,0
 Quintilio,Quaglioni,22,0
 Rihanna,Ruzzu,18,0
 Samantah,Sulis,30,0
 Tatiana,Truzzu,30,1
 Ubaldo,Urru,-,-
 Valentina,Vargiu,30,1
 Zlatan,Zuncheddu,18,0
 Jhonny,Rocky,21,1
 Nenno,Frari,20,0
 Ciao,Rocky,21,1
 G1n@,Nenna,30,1
 Alexandra,Brelstaff,30,1
 Gino,Gini,30,1
 Pelo,Gini,33,1

